time_days,mse_c,mse_h,old_c,old_h
2.560000000000000000e+03,1.033028866004315205e-06,7.776592383379465900e-07,5.639498704113066196e-05,1.625909135327674448e-05
2.570000000000000000e+03,9.326635108664049767e-07,6.451437002397142351e-07,5.624779805657453835e-05,1.610179060662630945e-05
2.580000000000000000e+03,8.496674581692786887e-07,5.425708877737633884e-07,5.612245877273380756e-05,1.592628177604638040e-05
2.590000000000000000e+03,7.824365297892654780e-07,4.670971804898726987e-07,5.601596058113500476e-05,1.575557689648121595e-05
2.600000000000000000e+03,7.289868335647042841e-07,4.119664254176313989e-07,5.592572051682509482e-05,1.556638017063960433e-05
2.610000000000000000e+03,6.871878213132731616e-07,3.741168939086492173e-07,5.584839891525916755e-05,1.538329161121509969e-05
2.620000000000000000e+03,6.543169774886337109e-07,3.479349288681987673e-07,5.578107084147632122e-05,1.519058787380345166e-05
2.630000000000000000e+03,6.285812332862406038e-07,3.285007323938771151e-07,5.572066947934217751e-05,1.499462541687535122e-05
2.640000000000000000e+03,6.084790129534667358e-07,3.140289095426851418e-07,5.566386971622705460e-05,1.480012724641710520e-05
2.650000000000000000e+03,5.926866606387193315e-07,3.017407834704499692e-07,5.560767385759390891e-05,1.460024941479787230e-05
2.660000000000000000e+03,5.809898198094742838e-07,2.908719523020408815e-07,5.554849121836014092e-05,1.440828054910525680e-05
2.670000000000000000e+03,5.734552814828930423e-07,2.806408474498311989e-07,5.548310946323908865e-05,1.420829266862710938e-05
2.680000000000000000e+03,5.710346613341243938e-07,2.740345905749563826e-07,5.540881466004066169e-05,1.402239740855293348e-05
2.690000000000000000e+03,5.747529030486475676e-07,2.727022092585684732e-07,5.532219802262261510e-05,1.383369635732378811e-05
2.700000000000000000e+03,5.861116960659273900e-07,2.790866631130484166e-07,5.521960702026262879e-05,1.365777825412806123e-05
2.710000000000000000e+03,6.065571369617828168e-07,2.960145479846687522e-07,5.509650509338825941e-05,1.348552723356988281e-05
2.720000000000000000e+03,6.371644758473848924e-07,3.257909213516541058e-07,5.494942161021754146e-05,1.333419822913128883e-05
2.730000000000000000e+03,6.790697852920857258e-07,3.700016009133832995e-07,5.477519152918830514e-05,1.318957674811827019e-05
2.740000000000000000e+03,7.325611477426718920e-07,4.276087111065862700e-07,5.456954386318102479e-05,1.306138346990337595e-05
2.750000000000000000e+03,7.975081643962766975e-07,4.996680331714742351e-07,5.432801117422059178e-05,1.294972298637731001e-05
2.760000000000000000e+03,8.726499345357296988e-07,5.807255547551903874e-07,5.404648618423379958e-05,1.285216330870753154e-05
2.770000000000000000e+03,9.561408660374581814e-07,6.704647148580988869e-07,5.372157465899363160e-05,1.277481715078465641e-05
2.780000000000000000e+03,1.045773160512908362e-06,7.619504458489245735e-07,5.334957677405327559e-05,1.270966367883374915e-05
2.790000000000000000e+03,1.138595280281151645e-06,8.506845006195362657e-07,5.292686182656325400e-05,1.266684012080077082e-05
2.800000000000000000e+03,1.230992097589478362e-06,9.295897598349256441e-07,5.245055945124477148e-05,1.264527872990584001e-05
